No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
1.0,3,0,0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3
2.0,6,0,0,0,-6,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5,3
3.0,9,2,0,0,-7,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3
4.0,12,2,0,0,-10,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.25,3
5.0,15,2,0,0,-13,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.2,3
6.0,18,2,0,0,-16,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,3
7.0,21,2,0,0,-19,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,3
8.0,24,2,0,0,-22,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.125,3
9.0,27,2,0,0,-25,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,3
10.0,30,2,0,0,-28,0,1,1,0,0,0.0,0.0,0.0,0.1,0.0,0.1,3
11.0,33,5,0,0,-28,0,1,1,0,0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,3
12.0,36,5,0,0,-31,0,2,1,0,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,3
13.0,39,8,0,0,-31,1,2,1,0,0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,3
14.0,42,16,0,0,-26,1,2,1,0,0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,3
15.0,45,16,0,0,-29,1,2,1,0,0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,3
16.0,48,16,0,0,-32,1,2,1,0,0,0.0,0.0,0.0625,0.125,0.0,0.0625,3
17.0,51,16,0,0,-35,1,3,1,0,0,0.0,0.0,0.058823529411764705,0.17647058823529413,0.0,0.058823529411764705,3
18.0,54,19,0,0,-35,1,3,1,0,0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.0,0.05555555555555555,3
19.0,57,19,0,0,-38,2,3,1,0,0,0.0,0.0,0.10526315789473684,0.15789473684210525,0.0,0.05263157894736842,3
20.0,60,27,0,0,-33,2,3,1,0,0,0.0,0.0,0.1,0.15,0.0,0.05,3
21.0,63,27,0,0,-36,2,3,1,0,0,0.0,0.0,0.09523809523809523,0.14285714285714285,0.0,0.047619047619047616,3
22.0,66,27,0,0,-39,2,3,1,0,0,0.0,0.0,0.09090909090909091,0.13636363636363635,0.0,0.045454545454545456,3
23.0,69,27,0,0,-42,2,3,1,0,0,0.0,0.0,0.08695652173913043,0.13043478260869565,0.0,0.043478260869565216,3
24.0,72,27,0,0,-45,2,3,1,0,0,0.0,0.0,0.08333333333333333,0.125,0.0,0.041666666666666664,3
