No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1.0,3,0,0,0,0,0,0,0,0,1
2.0,6,0,0,0,0,0,0,0,0,1
3.0,9,0,0,0,0,0,0,0,0,1
4.0,12,0,0,0,1,0,0,0,0,1
5.0,15,8,0,0,1,1,0,0,0,1
6.0,18,11,0,0,1,1,0,0,0,1
7.0,21,11,0,0,1,1,0,0,0,1
8.0,24,11,0,0,1,1,0,0,0,1
9.0,27,11,0,0,2,1,0,0,0,1
10.0,30,19,0,0,2,1,0,0,0,1
11.0,33,19,0,0,3,1,0,0,0,1
12.0,36,27,0,0,3,2,0,0,0,1
13.0,39,30,0,0,3,2,0,0,0,1
14.0,42,30,0,0,3,2,0,0,0,1
15.0,45,30,0,0,3,2,0,0,0,1
16.0,48,30,0,0,3,2,0,0,0,1
17.0,51,30,0,0,4,2,0,0,0,1
18.0,54,38,0,0,4,2,0,0,0,1
19.0,57,38,0,0,4,2,0,0,0,1
20.0,60,38,0,0,4,2,0,0,0,1
21.0,63,38,0,0,4,2,0,0,0,1
22.0,66,38,0,0,4,2,0,0,0,1
23.0,69,38,0,0,4,2,0,0,0,1
24.0,72,38,0,0,5,2,0,0,0,1
25.0,75,46,0,0,6,2,0,0,0,1
26.0,78,54,0,0,6,2,0,0,0,1
27.0,81,54,0,0,6,2,0,0,0,1
28.0,84,54,0,0,6,2,0,0,0,1
29.0,87,54,0,0,6,2,0,0,0,1
30.0,90,54,0,0,6,2,0,0,0,1
31.0,93,54,0,0,6,2,0,0,0,1
32.0,96,54,0,0,6,2,0,0,0,1
33.0,99,54,0,0,7,2,0,0,0,1
34.0,102,62,0,0,7,2,0,0,0,1
35.0,105,62,0,0,7,2,0,0,0,1
36.0,108,62,0,0,7,2,0,0,0,1
37.0,111,62,0,0,7,2,0,0,0,1
38.0,114,62,0,0,7,2,0,0,0,1
39.0,117,62,0,0,7,3,0,0,0,1
40.0,120,65,0,0,8,3,0,0,0,1
41.0,123,73,0,0,8,4,0,0,0,1
42.0,126,76,0,0,8,5,0,0,0,1
43.0,129,79,0,0,8,5,0,0,0,1
44.0,132,79,0,0,8,5,0,0,0,1
45.0,135,79,0,0,8,5,0,0,0,1
46.0,138,79,0,0,8,5,0,0,0,1
47.0,141,79,0,0,8,5,0,0,0,1
48.0,144,79,0,0,8,5,0,0,0,1
49.0,147,79,0,0,8,5,0,0,0,1
50.0,150,79,0,0,8,5,0,0,0,1
51.0,153,79,0,0,8,5,0,0,0,1
52.0,156,79,0,0,8,5,0,0,0,1
53.0,159,79,0,0,8,5,0,0,0,1
54.0,162,79,0,0,9,5,0,0,0,1
55.0,165,87,0,0,9,5,0,0,0,1
56.0,168,87,0,0,9,6,0,0,0,1
57.0,171,90,0,0,9,6,0,0,0,1
58.0,174,90,0,0,9,6,0,0,0,1
59.0,177,90,0,0,9,6,0,0,0,1
60.0,180,90,0,0,9,6,0,0,0,1
61.0,183,90,0,0,9,6,0,0,0,1
62.0,186,90,0,0,10,6,0,0,0,1
63.0,189,98,0,0,10,7,0,0,0,1
64.0,192,101,0,0,10,8,0,0,0,1
65.0,195,104,0,0,10,8,0,0,0,1
66.0,198,104,0,0,10,8,0,0,0,1
67.0,201,104,0,0,10,8,0,0,0,1
68.0,204,104,0,0,10,9,0,0,0,1
69.0,207,107,0,0,10,10,0,0,0,1
