Sales date,Sales time,Price,Item name,Item Group,quantity
2022/12/1,2022/12/1 11:33,930,soy sauce aged chicken ramen,ramen,1
2022/12/1,2022/12/1 11:40,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 11:40,100,large serving of noodles,topping,1
2022/12/1,2022/12/1 11:51,930,soy sauce aged chicken ramen,ramen,1
2022/12/1,2022/12/1 11:51,200,extra roasted pork fillet,topping,1
2022/12/1,2022/12/1 11:51,250,butter rice,food,1
2022/12/1,2022/12/1 11:54,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 11:54,100,large serving of noodles,topping,1
2022/12/1,2022/12/1 11:56,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 11:56,200,chikin tempura + rice set,topping,1
2022/12/1,2022/12/1 11:58,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 11:58,200,butter rice set,topping,1
2022/12/1,2022/12/1 12:03,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 12:03,200,butter rice set,topping,1
2022/12/1,2022/12/1 12:07,150,rice,food,1
2022/12/1,2022/12/1 12:15,900,mazesoba,ramen,1
2022/12/1,2022/12/1 12:15,200,chikin tempura + rice set,topping,1
2022/12/1,2022/12/1 12:16,900,mazesoba,ramen,1
2022/12/1,2022/12/1 12:16,200,butter rice set,topping,1
2022/12/1,2022/12/1 12:17,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 12:17,200,chikin tempura + rice set,topping,1
2022/12/1,2022/12/1 12:17,880,salty chicken ramen,ramen,1
2022/12/1,2022/12/1 12:22,900,mazesoba,ramen,1
2022/12/1,2022/12/1 12:29,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 12:29,200,chikin tempura + rice set,topping,1
2022/12/1,2022/12/1 12:29,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 12:32,900,mazesoba,ramen,1
2022/12/1,2022/12/1 12:33,250,butter rice,food,1
2022/12/1,2022/12/1 12:34,900,mazesoba,ramen,1
2022/12/1,2022/12/1 12:34,200,chikin tempura + rice set,topping,1
2022/12/1,2022/12/1 12:35,930,soy sauce aged chicken ramen,ramen,1
2022/12/1,2022/12/1 12:35,200,butter rice set,topping,1
2022/12/1,2022/12/1 12:36,880,salty chicken ramen,ramen,1
2022/12/1,2022/12/1 12:36,200,butter rice set,topping,1
2022/12/1,2022/12/1 12:44,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 12:44,150,chicken tempura,A la carte,1
2022/12/1,2022/12/1 12:44,880,salty chicken ramen,ramen,1
2022/12/1,2022/12/1 12:44,100,boiled egg,topping,1
2022/12/1,2022/12/1 12:46,900,mazesoba,ramen,1
2022/12/1,2022/12/1 12:47,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 12:47,100,boiled egg,topping,1
2022/12/1,2022/12/1 12:57,880,salty chicken ramen,ramen,1
2022/12/1,2022/12/1 12:57,100,large serving of noodles,topping,1
2022/12/1,2022/12/1 13:00,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 13:00,100,large serving of noodles,topping,1
2022/12/1,2022/12/1 13:01,830,soy sauce chicken ramen,ramen,2
2022/12/1,2022/12/1 13:01,200,chikin tempura + rice set,topping,1
2022/12/1,2022/12/1 13:01,200,butter rice set,topping,1
2022/12/1,2022/12/1 13:08,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 13:08,200,extra roasted pork fillet,topping,1
2022/12/1,2022/12/1 13:14,100,large serving of noodles,topping,2
2022/12/1,2022/12/1 13:18,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 13:18,100,large serving of noodles,topping,1
2022/12/1,2022/12/1 13:31,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 13:31,200,chikin tempura + rice set,topping,1
2022/12/1,2022/12/1 13:45,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 14:00,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 14:00,200,butter rice set,topping,1
2022/12/1,2022/12/1 14:00,900,mazesoba,ramen,1
2022/12/1,2022/12/1 14:27,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 14:27,100,boiled egg,topping,1
2022/12/1,2022/12/1 14:27,200,extra roasted pork fillet,topping,1
2022/12/1,2022/12/1 14:44,880,salty chicken ramen,ramen,1
2022/12/1,2022/12/1 14:54,900,mazesoba,ramen,1
2022/12/1,2022/12/1 14:54,200,extra roasted pork fillet,topping,1
2022/12/1,2022/12/1 14:54,200,butter rice set,topping,1
2022/12/1,2022/12/1 18:07,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 18:07,150,chicken tempura,A la carte,1
2022/12/1,2022/12/1 18:43,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 18:44,250,beef rice bowl,food,1
2022/12/1,2022/12/1 18:59,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 19:01,350,lemon shochu highball,drink,1
2022/12/1,2022/12/1 19:01,350,roasted pork fillet assort,A la carte,1
2022/12/1,2022/12/1 19:01,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 19:12,900,mazesoba,ramen,1
2022/12/1,2022/12/1 19:12,250,butter rice,food,1
2022/12/1,2022/12/1 19:13,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 19:13,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 19:13,100,large serving of noodles,topping,1
2022/12/1,2022/12/1 20:15,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 20:15,100,boiled egg,topping,1
2022/12/1,2022/12/1 20:15,200,cola,drink,1
2022/12/1,2022/12/1 20:32,880,salty chicken ramen,ramen,1
2022/12/1,2022/12/1 20:33,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 20:42,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 20:42,100,boiled egg,topping,1
2022/12/1,2022/12/1 20:42,100,large serving of noodles,topping,1
2022/12/1,2022/12/1 20:42,350,roasted pork fillet assort,A la carte,1
2022/12/1,2022/12/1 20:42,390,whisky soda,drink,1
2022/12/1,2022/12/1 20:42,390,draft beer,drink,1
2022/12/1,2022/12/1 20:44,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 20:51,390,whisky soda,drink,1
2022/12/1,2022/12/1 21:08,100,boiled egg,topping,1
2022/12/1,2022/12/1 21:19,830,soy sauce chicken ramen,ramen,1
2022/12/1,2022/12/1 21:19,250,butter rice,food,1
2022/12/1,2022/12/1 21:20,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 21:20,390,draft beer,drink,1
2022/12/1,2022/12/1 21:21,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 21:21,100,large serving of noodles,topping,1
2022/12/1,2022/12/1 21:23,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 21:23,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 21:42,880,salty chicken ramen,ramen,1
2022/12/1,2022/12/1 21:46,980,salty aged chikin ramen,ramen,1
2022/12/1,2022/12/1 21:46,100,boiled egg,topping,1
2022/12/1,2022/12/1 21:46,250,butter rice,food,1
2022/12/2,2022/12/2 11:35,930,soy sauce aged chicken ramen,ramen,1
2022/12/2,2022/12/2 11:56,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 11:56,100,large serving of noodles,topping,1
2022/12/2,2022/12/2 11:56,100,boiled egg,topping,1
2022/12/2,2022/12/2 12:01,900,mazesoba,ramen,1
2022/12/2,2022/12/2 12:01,200,butter rice set,topping,1
2022/12/2,2022/12/2 12:02,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 12:04,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 12:04,150,chicken tempura,A la carte,1
2022/12/2,2022/12/2 12:06,900,mazesoba,ramen,1
2022/12/2,2022/12/2 12:06,200,chikin tempura + rice set,topping,1
2022/12/2,2022/12/2 12:08,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 12:08,250,chikin rice bowl,food,1
2022/12/2,2022/12/2 12:09,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 12:09,150,rice,food,1
2022/12/2,2022/12/2 12:09,900,mazesoba,ramen,1
2022/12/2,2022/12/2 12:11,900,mazesoba,ramen,1
2022/12/2,2022/12/2 12:11,100,boiled egg,topping,1
2022/12/2,2022/12/2 12:11,200,chikin tempura + rice set,topping,1
2022/12/2,2022/12/2 12:11,350,roasted pork fillet assort,A la carte,1
2022/12/2,2022/12/2 12:12,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 12:12,200,butter rice set,topping,1
2022/12/2,2022/12/2 12:13,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 12:13,200,chikin tempura + rice set,topping,1
2022/12/2,2022/12/2 12:14,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 12:14,100,boiled egg,topping,1
2022/12/2,2022/12/2 12:14,350,chicken thigh rice,food,1
2022/12/2,2022/12/2 12:17,900,mazesoba,ramen,1
2022/12/2,2022/12/2 12:17,200,chikin tempura + rice set,topping,2
2022/12/2,2022/12/2 12:17,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 12:22,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 12:22,200,chikin tempura + rice set,topping,1
2022/12/2,2022/12/2 12:39,900,mazesoba,ramen,1
2022/12/2,2022/12/2 12:39,200,chikin tempura + rice set,topping,1
2022/12/2,2022/12/2 12:40,880,salty chicken ramen,ramen,1
2022/12/2,2022/12/2 12:44,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 12:44,200,extra roasted pork fillet,topping,1
2022/12/2,2022/12/2 12:45,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 13:21,930,soy sauce aged chicken ramen,ramen,1
2022/12/2,2022/12/2 13:33,900,mazesoba,ramen,1
2022/12/2,2022/12/2 13:34,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 13:36,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 13:36,100,boiled egg,topping,1
2022/12/2,2022/12/2 13:40,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 13:42,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 13:52,930,soy sauce aged chicken ramen,ramen,1
2022/12/2,2022/12/2 13:52,150,rice,food,1
2022/12/2,2022/12/2 14:09,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 14:42,900,mazesoba,ramen,1
2022/12/2,2022/12/2 14:43,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 14:44,900,mazesoba,ramen,1
2022/12/2,2022/12/2 14:44,200,chikin tempura + rice set,topping,1
2022/12/2,2022/12/2 14:59,830,soy sauce chicken ramen,ramen,2
2022/12/2,2022/12/2 14:59,100,large serving of noodles,topping,1
2022/12/2,2022/12/2 14:59,100,boiled egg,topping,1
2022/12/2,2022/12/2 14:59,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 15:00,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 18:20,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 18:20,100,large serving of noodles,topping,1
2022/12/2,2022/12/2 18:35,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 18:35,200,extra roasted pork fillet,topping,1
2022/12/2,2022/12/2 18:35,100,boiled egg,topping,1
2022/12/2,2022/12/2 18:57,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 19:10,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 19:10,100,large serving of noodles,topping,1
2022/12/2,2022/12/2 19:10,100,boiled egg,topping,1
2022/12/2,2022/12/2 19:10,250,beef rice bowl,food,1
2022/12/2,2022/12/2 19:11,900,mazesoba,ramen,1
2022/12/2,2022/12/2 19:11,350,chicken thigh rice,food,1
2022/12/2,2022/12/2 19:23,880,salty chicken ramen,ramen,1
2022/12/2,2022/12/2 19:23,100,large serving of noodles,topping,1
2022/12/2,2022/12/2 19:23,200,extra roasted pork fillet,topping,1
2022/12/2,2022/12/2 19:24,900,mazesoba,ramen,1
2022/12/2,2022/12/2 19:25,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 19:25,100,boiled egg,topping,1
2022/12/2,2022/12/2 19:26,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 19:26,100,large serving of noodles,topping,1
2022/12/2,2022/12/2 19:26,250,butter rice,food,1
2022/12/2,2022/12/2 19:38,900,mazesoba,ramen,1
2022/12/2,2022/12/2 19:40,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 19:40,250,butter rice,food,1
2022/12/2,2022/12/2 20:55,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 20:56,980,salty aged chikin ramen,ramen,1
2022/12/2,2022/12/2 20:56,390,draft beer,drink,2
2022/12/2,2022/12/2 21:01,900,mazesoba,ramen,1
2022/12/2,2022/12/2 21:01,200,extra roasted pork fillet,topping,1
2022/12/2,2022/12/2 21:01,100,boiled egg,topping,1
2022/12/2,2022/12/2 21:01,250,beef rice bowl,food,1
2022/12/2,2022/12/2 21:02,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 21:02,100,boiled egg,topping,1
2022/12/2,2022/12/2 21:02,100,large serving of noodles,topping,1
2022/12/2,2022/12/2 21:02,250,butter rice,food,1
2022/12/2,2022/12/2 21:39,900,mazesoba,ramen,1
2022/12/2,2022/12/2 21:53,900,mazesoba,ramen,1
2022/12/2,2022/12/2 21:53,200,extra roasted pork fillet,topping,1
2022/12/2,2022/12/2 22:07,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 22:08,390,draft beer,drink,1
2022/12/2,2022/12/2 22:11,100,large serving of noodles,topping,1
2022/12/2,2022/12/2 22:13,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 22:13,880,salty chicken ramen,ramen,1
2022/12/2,2022/12/2 22:14,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 22:22,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 22:22,100,large serving of noodles,topping,1
2022/12/2,2022/12/2 22:23,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 22:30,830,soy sauce chicken ramen,ramen,1
2022/12/2,2022/12/2 22:30,100,large serving of noodles,topping,1
2022/12/3,2022/12/3 11:35,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 11:36,900,mazesoba,ramen,1
2022/12/3,2022/12/3 11:38,900,mazesoba,ramen,1
2022/12/3,2022/12/3 11:38,200,chikin tempura + rice set,topping,1
2022/12/3,2022/12/3 11:38,880,salty chicken ramen,ramen,1
2022/12/3,2022/12/3 11:38,100,large serving of noodles,topping,1
2022/12/3,2022/12/3 11:39,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 11:39,100,large serving of noodles,topping,1
2022/12/3,2022/12/3 11:40,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 11:52,900,mazesoba,ramen,1
2022/12/3,2022/12/3 11:52,200,butter rice set,topping,1
2022/12/3,2022/12/3 11:54,150,rice,food,1
2022/12/3,2022/12/3 11:57,900,mazesoba,ramen,1
2022/12/3,2022/12/3 12:17,900,mazesoba,ramen,1
2022/12/3,2022/12/3 12:17,200,butter rice set,topping,1
2022/12/3,2022/12/3 12:18,930,soy sauce aged chicken ramen,ramen,1
2022/12/3,2022/12/3 12:18,200,butter rice set,topping,1
2022/12/3,2022/12/3 12:18,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 12:18,200,chikin tempura + rice set,topping,1
2022/12/3,2022/12/3 12:19,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 12:19,100,boiled egg,topping,1
2022/12/3,2022/12/3 12:19,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 12:19,100,boiled egg,topping,1
2022/12/3,2022/12/3 12:20,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 12:20,100,large serving of noodles,topping,1
2022/12/3,2022/12/3 12:22,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 12:22,200,extra roasted pork fillet,topping,1
2022/12/3,2022/12/3 12:22,200,butter rice set,topping,1
2022/12/3,2022/12/3 12:23,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 12:23,200,extra roasted pork fillet,topping,1
2022/12/3,2022/12/3 12:23,100,boiled egg,topping,1
2022/12/3,2022/12/3 12:23,100,large serving of noodles,topping,1
2022/12/3,2022/12/3 12:23,200,chikin tempura + rice set,topping,1
2022/12/3,2022/12/3 12:33,900,mazesoba,ramen,1
2022/12/3,2022/12/3 12:33,200,butter rice set,topping,1
2022/12/3,2022/12/3 12:40,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 12:40,200,chikin tempura + rice set,topping,1
2022/12/3,2022/12/3 12:41,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 12:41,200,extra roasted pork fillet,topping,1
2022/12/3,2022/12/3 12:57,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 12:57,200,chikin tempura + rice set,topping,1
2022/12/3,2022/12/3 12:58,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 12:58,200,chikin tempura + rice set,topping,1
2022/12/3,2022/12/3 13:01,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 13:02,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 13:02,200,chikin tempura + rice set,topping,1
2022/12/3,2022/12/3 13:02,100,boiled egg,topping,1
2022/12/3,2022/12/3 13:11,900,mazesoba,ramen,1
2022/12/3,2022/12/3 13:17,980,salty aged chikin ramen,ramen,2
2022/12/3,2022/12/3 13:17,200,chikin tempura + rice set,topping,2
2022/12/3,2022/12/3 13:27,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 13:34,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 13:34,200,butter rice set,topping,1
2022/12/3,2022/12/3 13:39,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 13:46,900,mazesoba,ramen,1
2022/12/3,2022/12/3 13:48,880,salty chicken ramen,ramen,1
2022/12/3,2022/12/3 13:48,200,extra roasted pork fillet,topping,1
2022/12/3,2022/12/3 13:48,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 13:48,100,boiled egg,topping,1
2022/12/3,2022/12/3 13:48,100,large serving of noodles,topping,1
2022/12/3,2022/12/3 13:48,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 13:48,200,butter rice set,topping,1
2022/12/3,2022/12/3 13:48,100,large serving of noodles,topping,1
2022/12/3,2022/12/3 13:50,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 13:50,100,boiled egg,topping,1
2022/12/3,2022/12/3 13:54,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 14:05,880,salty chicken ramen,ramen,1
2022/12/3,2022/12/3 14:05,200,butter rice set,topping,1
2022/12/3,2022/12/3 14:05,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 14:09,900,mazesoba,ramen,1
2022/12/3,2022/12/3 14:09,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 14:10,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 14:10,100,boiled egg,topping,1
2022/12/3,2022/12/3 14:18,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 14:18,200,butter rice set,topping,1
2022/12/3,2022/12/3 14:45,900,mazesoba,ramen,1
2022/12/3,2022/12/3 14:45,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 18:06,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 18:06,100,boiled egg,topping,1
2022/12/3,2022/12/3 18:06,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 18:06,100,boiled egg,topping,1
2022/12/3,2022/12/3 18:06,100,large serving of noodles,topping,1
2022/12/3,2022/12/3 18:31,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 18:31,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 18:31,500,children's ramen,ramen,1
2022/12/3,2022/12/3 18:33,930,soy sauce aged chicken ramen,ramen,1
2022/12/3,2022/12/3 18:34,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 18:41,900,mazesoba,ramen,1
2022/12/3,2022/12/3 18:42,900,mazesoba,ramen,1
2022/12/3,2022/12/3 18:43,880,salty chicken ramen,ramen,1
2022/12/3,2022/12/3 18:43,100,boiled egg,topping,1
2022/12/3,2022/12/3 18:44,150,chicken tempura,A la carte,1
2022/12/3,2022/12/3 18:52,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 18:52,100,boiled egg,topping,1
2022/12/3,2022/12/3 18:57,900,mazesoba,ramen,2
2022/12/3,2022/12/3 18:57,100,boiled egg,topping,2
2022/12/3,2022/12/3 18:57,390,draft beer,drink,2
2022/12/3,2022/12/3 20:24,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 20:24,900,mazesoba,ramen,1
2022/12/3,2022/12/3 20:24,100,boiled egg,topping,1
2022/12/3,2022/12/3 20:33,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 20:48,880,salty chicken ramen,ramen,1
2022/12/3,2022/12/3 20:49,930,soy sauce aged chicken ramen,ramen,1
2022/12/3,2022/12/3 20:56,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 20:56,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 20:56,880,salty chicken ramen,ramen,1
2022/12/3,2022/12/3 20:56,100,boiled egg,topping,1
2022/12/3,2022/12/3 21:06,900,mazesoba,ramen,1
2022/12/3,2022/12/3 21:11,930,soy sauce aged chicken ramen,ramen,1
2022/12/3,2022/12/3 21:11,200,extra roasted pork fillet,topping,1
2022/12/3,2022/12/3 21:11,250,butter rice,food,1
2022/12/3,2022/12/3 21:12,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 21:12,350,chicken thigh rice,food,1
2022/12/3,2022/12/3 21:15,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 21:15,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 21:15,100,boiled egg,topping,1
2022/12/3,2022/12/3 21:17,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 21:17,250,butter rice,food,1
2022/12/3,2022/12/3 21:19,350,lemon shochu highball,drink,1
2022/12/3,2022/12/3 21:19,390,draft beer,drink,2
2022/12/3,2022/12/3 21:19,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 21:19,250,chikin rice bowl,food,1
2022/12/3,2022/12/3 21:25,900,mazesoba,ramen,1
2022/12/3,2022/12/3 21:25,200,extra roasted pork fillet,topping,1
2022/12/3,2022/12/3 21:26,980,salty aged chikin ramen,ramen,1
2022/12/3,2022/12/3 21:26,100,boiled egg,topping,1
2022/12/3,2022/12/3 22:15,830,soy sauce chicken ramen,ramen,1
2022/12/3,2022/12/3 22:15,880,salty chicken ramen,ramen,1
2022/12/4,2022/12/4 11:34,830,soy sauce chicken ramen,ramen,1
2022/12/4,2022/12/4 11:51,980,salty aged chikin ramen,ramen,1
2022/12/4,2022/12/4 11:51,100,large serving of noodles,topping,1
2022/12/4,2022/12/4 11:52,830,soy sauce chicken ramen,ramen,1
2022/12/4,2022/12/4 11:52,100,boiled egg,topping,1
2022/12/4,2022/12/4 11:56,830,soy sauce chicken ramen,ramen,1
2022/12/4,2022/12/4 12:00,830,soy sauce chicken ramen,ramen,2
2022/12/4,2022/12/4 12:00,100,large serving of noodles,topping,1
2022/12/4,2022/12/4 12:00,200,extra roasted pork fillet,topping,1
2022/12/4,2022/12/4 12:12,900,mazesoba,ramen,1
2022/12/4,2022/12/4 12:14,900,mazesoba,ramen,1
2022/12/4,2022/12/4 12:15,980,salty aged chikin ramen,ramen,1
2022/12/4,2022/12/4 12:15,200,butter rice set,topping,1
2022/12/4,2022/12/4 12:18,900,mazesoba,ramen,1
2022/12/4,2022/12/4 12:30,830,soy sauce chicken ramen,ramen,1
2022/12/4,2022/12/4 12:30,200,butter rice set,topping,1
2022/12/4,2022/12/4 12:32,830,soy sauce chicken ramen,ramen,1
2022/12/4,2022/12/4 12:32,100,boiled egg,topping,1
2022/12/4,2022/12/4 12:32,980,salty aged chikin ramen,ramen,1
2022/12/4,2022/12/4 12:32,200,chikin tempura + rice set,topping,1
2022/12/4,2022/12/4 12:33,900,mazesoba,ramen,1
2022/12/4,2022/12/4 12:34,980,salty aged chikin ramen,ramen,1
2022/12/4,2022/12/4 12:34,200,chikin tempura + rice set,topping,1
