"店舗コード","企業名","店舗名","機番号","備考","売上集計日","売上連番","売上時間","削除フラグ","チケット種類","購入方法","電子マネー","売上金額","品目名","グループ名","枚数","税率"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16364","2022-10-01 11:54:37","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16365","2022-10-01 11:54:37","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16366","2022-10-01 12:02:32","通常売上","通常券","店内／現金","","950","冷やし鶏塩そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16367","2022-10-01 12:08:08","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16368","2022-10-01 12:08:08","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16369","2022-10-01 12:08:08","通常売上","通常券","店内／現金","","390","生ビール","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16370","2022-10-01 12:08:53","通常売上","通常券","店内／現金","","950","タイそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16371","2022-10-01 12:10:29","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16372","2022-10-01 12:14:02","通常売上","通常券","店内／現金","","880","塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16373","2022-10-01 12:18:05","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16374","2022-10-01 12:18:05","通常売上","通常券","店内／現金","","250","鶏めし","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16375","2022-10-01 12:19:02","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16376","2022-10-01 12:23:43","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16377","2022-10-01 12:23:43","通常売上","通常券","店内／現金","","200","バターご飯セット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16378","2022-10-01 12:35:07","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16379","2022-10-01 12:35:07","通常売上","通常券","店内／現金","","200","バターご飯セット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16380","2022-10-01 12:38:17","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16381","2022-10-01 12:38:44","通常売上","通常券","店内／現金","","390","生ビール","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16382","2022-10-01 12:49:49","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16383","2022-10-01 12:49:59","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16384","2022-10-01 12:49:59","通常売上","通常券","店内／現金","","200","バターご飯セット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16385","2022-10-01 12:50:14","通常売上","複数券","店内／現金","","150","とり天","一品","2","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16386","2022-10-01 12:50:51","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16387","2022-10-01 12:52:56","通常売上","通常券","店内／現金","","930","熟成しょうゆ鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16388","2022-10-01 12:52:56","通常売上","通常券","店内／現金","","200","バターご飯セット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16389","2022-10-01 12:52:56","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16390","2022-10-01 12:52:56","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16391","2022-10-01 12:52:56","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16392","2022-10-01 12:54:01","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16393","2022-10-01 12:54:01","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16394","2022-10-01 12:55:38","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16395","2022-10-01 12:55:38","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16396","2022-10-01 12:55:53","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16397","2022-10-01 12:56:00","通常売上","通常券","店内／現金","","200","コーラ","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16398","2022-10-01 12:56:21","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16399","2022-10-01 12:56:21","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16400","2022-10-01 13:00:21","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16401","2022-10-01 13:00:21","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16402","2022-10-01 13:01:10","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16403","2022-10-01 13:01:10","通常売上","通常券","店内／現金","","200","とり天＋ライスセット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16404","2022-10-01 13:01:10","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16405","2022-10-01 13:03:00","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16406","2022-10-01 13:03:00","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16407","2022-10-01 13:19:46","通常売上","複数券","店内／現金","","830","鶏そば","ラーメン","3","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16408","2022-10-01 13:19:46","通常売上","通常券","店内／現金","","250","鶏めし","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16409","2022-10-01 13:21:58","通常売上","複数券","店内／現金","","950","タイそば","ラーメン","2","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16410","2022-10-01 13:21:58","通常売上","通常券","店内／現金","","200","バターご飯セット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16411","2022-10-01 13:23:34","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16412","2022-10-01 13:23:57","通常売上","通常券","店内／現金","","950","冷やし鶏塩そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16413","2022-10-01 13:23:57","通常売上","通常券","店内／現金","","200","とり天＋ライスセット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16414","2022-10-01 13:23:57","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16415","2022-10-01 13:24:10","通常売上","通常券","店内／現金","","350","レモン酎ハイ","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16416","2022-10-01 13:25:36","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16417","2022-10-01 13:34:39","通常売上","複数券","店内／現金","","950","タイそば","ラーメン","2","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16418","2022-10-01 13:34:39","通常売上","複数券","店内／現金","","100","煮卵","トッピング","2","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16419","2022-10-01 13:41:31","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16420","2022-10-01 13:41:31","通常売上","通常券","店内／現金","","70","まぜそば〆ご飯","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16421","2022-10-01 13:42:04","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16422","2022-10-01 13:42:04","通常売上","通常券","店内／現金","","200","バターご飯セット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16423","2022-10-01 13:42:50","通常売上","通常券","店内／現金","","930","熟成しょうゆ鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16424","2022-10-01 13:48:17","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16425","2022-10-01 13:48:17","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16426","2022-10-01 13:48:47","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16427","2022-10-01 13:49:25","通常売上","通常券","店内／現金","","950","タイそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16428","2022-10-01 13:51:56","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16429","2022-10-01 13:51:56","通常売上","通常券","店内／現金","","200","バターご飯セット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16430","2022-10-01 13:52:22","通常売上","通常券","店内／現金","","900","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16431","2022-10-01 13:53:01","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16432","2022-10-01 13:53:01","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16433","2022-10-01 13:55:12","通常売上","通常券","店内／現金","","830","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16434","2022-10-01 13:55:12","通常売上","通常券","店内／現金","","200","とり天＋ライスセット","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-10-01","16435","2022-10-01 13:56:20","通常売上","通常券","店内／現金","","980","熟成塩鶏そば","ラーメン","1","0"
